date,temp_c,precip_mm,weathercode
2009-11-18,9.65,0.2,51
2009-11-19,10.25,0.0,3
2009-11-20,12.1,0.0,3
2009-11-21,13.15,0.0,3
2009-11-22,11.100000000000001,0.9,51
2009-11-23,9.3,13.6,63
2009-11-24,9.95,3.2,53
2009-11-25,10.600000000000001,2.0,53
2009-11-26,8.45,0.2,51
2009-11-27,7.0,9.3,63
2009-11-28,7.25,4.7,53
2009-11-29,9.35,7.0,61
2009-11-30,6.300000000000001,1.5,51
2009-12-01,2.55,0.0,3
2009-12-02,2.6999999999999997,0.0,3
2009-12-03,6.65,0.8,53
2009-12-04,5.75,0.9,51
2009-12-05,4.300000000000001,4.7,53
2009-12-06,8.5,8.3,55
2009-12-07,6.3,0.0,3
2009-12-08,6.15,5.2,61
2009-12-09,5.7,0.0,3
2009-12-10,7.8999999999999995,17.5,61
2009-12-11,5.0,7.0,55
2009-12-12,1.85,1.4,71
2009-12-13,-0.09999999999999998,0.0,71
2009-12-14,-0.95,0.0,3
2009-12-15,-2.1,0.0,3
2009-12-16,-1.75,0.0,3
2009-12-17,-3.2,0.0,3
2009-12-18,-6.4,0.6,71
2009-12-19,-10.6,0.0,3
2009-12-20,-7.0,3.2,73
2009-12-21,-1.95,0.2,71
2009-12-22,1.7,5.2,73
2009-12-23,0.10000000000000009,0.0,3
2009-12-24,0.7,0.0,3
2009-12-25,3.5500000000000003,9.5,55
2009-12-26,2.7,0.0,3
2009-12-27,2.6,0.3,51
2009-12-28,1.0,1.8,51
2009-12-29,-0.34999999999999987,1.7,73
2009-12-30,-0.10000000000000003,10.7,73
2009-12-31,-1.5499999999999998,6.3,73
2010-01-01,-3.25,1.3,71
2010-01-02,-4.65,2.9,73
2010-01-03,-4.85,3.4,73
2010-01-04,-5.6,0.0,3
2010-01-05,-3.1,0.0,3
2010-01-06,-4.35,0.0,71
2010-01-07,-4.05,1.1,71
2010-01-08,-6.4,0.0,3
2010-01-09,-2.65,1.6,71
2010-01-10,-3.0,2.2,73
2010-01-11,-3.85,0.6,71
2010-01-12,-8.65,0.0,3
2010-01-13,-4.5,0.0,3
2010-01-14,-1.75,0.2,71
2010-01-15,-2.1999999999999997,0.0,3
2010-01-16,-1.9499999999999997,0.0,3
2010-01-17,1.1,7.5,73
2010-01-18,2.85,1.9,51
2010-01-19,2.15,2.4,53
2010-01-20,1.55,0.0,3
2010-01-21,-1.25,0.0,3
2010-01-22,-2.8,0.0,1
2010-01-23,-4.9,0.0,3
2010-01-24,-3.1500000000000004,0.6,71
2010-01-25,-5.6,2.0,73
2010-01-26,-10.45,0.0,1
2010-01-27,-7.05,2.9,73
2010-01-28,0.0,4.7,73
2010-01-29,-0.25,8.4,73
2010-01-30,-3.8499999999999996,1.1,71
2010-01-31,-2.2,0.6,71
2010-02-01,-1.5,1.3,73
2010-02-02,-1.55,12.3,75
2010-02-03,0.0,2.4,75
2010-02-04,0.8000000000000003,1.1,53
2010-02-05,2.2,0.0,3
2010-02-06,0.7,0.0,3
2010-02-07,-2.5,0.0,3
2010-02-08,-4.2,0.0,3
2010-02-09,-6.45,0.0,71
2010-02-10,-5.800000000000001,1.5,71
2010-02-11,-4.85,0.2,71
2010-02-12,-3.5,0.7,71
